opportunity_type,hold_percentage,sport,market_type,prop_description,market_point,game,commence_time,team1_name,team1_book,team1_odds,team1_point,team1_stake,team1_link,team2_name,team2_book,team2_odds,team2_point,team2_stake,team2_link,profit_percentage,timestamp,display_market
Low Hold,2.45,NCAAF,h2h,,,Nevada Wolf Pack vs Air Force Falcons,2024-11-24 03:30,Air Force Falcons,DraftKings,124,,43.58,https://sportsbook.draftkings.com/event/air-force-%40-nevada/31367908,Nevada Wolf Pack,FanDuel,-137,,56.42,https://sportsbook.fanduel.com/american-football/ncaa-football-games/air-force-%40-nevada-33784177,0.0,2024-11-24 01:35,h2h
Low Hold,2.91,NCAAF,spreads,,3.0,Nevada Wolf Pack vs Air Force Falcons,2024-11-24 03:30,Air Force Falcons,BetRivers,-112,3.0,51.41,https://{state}.betrivers.com/?page=sportsbook#event/1020952090,Nevada Wolf Pack,Caesars,100,-3.0,48.59,https://sportsbook.caesars.com/us/{state}/bet/americanfootball/b84dd115-4617-4ee3-ac36-32aaeb4f3f67/air-force-falcons-at-nevada-wolf-pack,0.0,2024-11-24 01:35,spreads
Low Hold,2.5,NCAAF,alternate_spreads,,-6.5,Nevada Wolf Pack vs Air Force Falcons,2024-11-24 03:30,Air Force Falcons,DraftKings,274,-6.5,26.09,https://sportsbook.draftkings.com/event/air-force-%40-nevada/31367908,Nevada Wolf Pack,FanDuel,-312,6.5,73.91,https://sportsbook.fanduel.com/american-football/ncaa-football-games/air-force-%40-nevada-33784177,0.0,2024-11-24 01:35,alternate_spreads
Low Hold,2.05,NCAAF,alternate_spreads,,-5.5,Nevada Wolf Pack vs Air Force Falcons,2024-11-24 03:30,Air Force Falcons,DraftKings,238,-5.5,28.99,https://sportsbook.draftkings.com/event/air-force-%40-nevada/31367908,Nevada Wolf Pack,FanDuel,-263,5.5,71.01,https://sportsbook.fanduel.com/american-football/ncaa-football-games/air-force-%40-nevada-33784177,0.0,2024-11-24 01:35,alternate_spreads
Low Hold,2.63,NCAAF,alternate_spreads,,-3.5,Nevada Wolf Pack vs Air Force Falcons,2024-11-24 03:30,Air Force Falcons,DraftKings,189,-3.5,33.72,https://sportsbook.draftkings.com/event/air-force-%40-nevada/31367908,Nevada Wolf Pack,FanDuel,-213,3.5,66.28,https://sportsbook.fanduel.com/american-football/ncaa-football-games/air-force-%40-nevada-33784177,0.0,2024-11-24 01:35,alternate_spreads
Low Hold,2.91,NCAAF,alternate_totals,,46.5,Nevada Wolf Pack vs Air Force Falcons,2024-11-24 03:30,Over,BetRivers,114,46.5,45.41,https://{state}.betrivers.com/?page=sportsbook#event/1020952090,Under,DraftKings,-128,46.5,54.59,https://sportsbook.draftkings.com/event/air-force-%40-nevada/31367908,0.0,2024-11-24 01:35,alternate_totals
Low Hold,2.54,NCAAF,alternate_totals,,48.5,Nevada Wolf Pack vs Air Force Falcons,2024-11-24 03:30,Over,BetRivers,145,48.5,39.8,https://{state}.betrivers.com/?page=sportsbook#event/1020952090,Under,DraftKings,-161,48.5,60.2,https://sportsbook.draftkings.com/event/air-force-%40-nevada/31367908,0.0,2024-11-24 01:35,alternate_totals
Low Hold,2.13,NCAAF,alternate_totals,,49.5,Nevada Wolf Pack vs Air Force Falcons,2024-11-24 03:30,Over,BetRivers,163,49.5,37.23,https://{state}.betrivers.com/?page=sportsbook#event/1020952090,Under,DraftKings,-179,49.5,62.77,https://sportsbook.draftkings.com/event/air-force-%40-nevada/31367908,0.0,2024-11-24 01:35,alternate_totals
Low Hold,1.5,NCAAF,alternate_totals,,50.5,Nevada Wolf Pack vs Air Force Falcons,2024-11-24 03:30,Over,BetRivers,180,50.5,35.19,https://{state}.betrivers.com/?page=sportsbook#event/1020952090,Under,DraftKings,-192,50.5,64.81,https://sportsbook.draftkings.com/event/air-force-%40-nevada/31367908,0.0,2024-11-24 01:35,alternate_totals
Low Hold,2.67,NCAAF,alternate_totals,,52.5,Nevada Wolf Pack vs Air Force Falcons,2024-11-24 03:30,Over,FanDuel,215,52.5,30.92,https://sportsbook.fanduel.com/american-football/ncaa-football-games/air-force-%40-nevada-33784177,Under,DraftKings,-244,52.5,69.08,https://sportsbook.draftkings.com/event/air-force-%40-nevada/31367908,0.0,2024-11-24 01:35,alternate_totals
Low Hold,2.87,NCAAF,alternate_totals,,46.0,Nevada Wolf Pack vs Air Force Falcons,2024-11-24 03:30,Over,BetRivers,110,46.0,46.29,https://{state}.betrivers.com/?page=sportsbook#event/1020952090,Under,DraftKings,-123,46.0,53.71,https://sportsbook.draftkings.com/event/air-force-%40-nevada/31367908,0.0,2024-11-24 01:35,alternate_totals
Low Hold,2.65,NCAAF,alternate_totals,,47.0,Nevada Wolf Pack vs Air Force Falcons,2024-11-24 03:30,Over,BetRivers,123,47.0,43.69,https://{state}.betrivers.com/?page=sportsbook#event/1020952090,Under,DraftKings,-137,47.0,56.31,https://sportsbook.draftkings.com/event/air-force-%40-nevada/31367908,0.0,2024-11-24 01:35,alternate_totals
Low Hold,2.62,NCAAF,alternate_totals,,48.0,Nevada Wolf Pack vs Air Force Falcons,2024-11-24 03:30,Over,BetRivers,138,48.0,40.94,https://{state}.betrivers.com/?page=sportsbook#event/1020952090,Under,DraftKings,-154,48.0,59.06,https://sportsbook.draftkings.com/event/air-force-%40-nevada/31367908,0.0,2024-11-24 01:35,alternate_totals
Low Hold,2.11,NCAAF,alternate_totals,,49.0,Nevada Wolf Pack vs Air Force Falcons,2024-11-24 03:30,Over,BetRivers,155,49.0,38.41,https://{state}.betrivers.com/?page=sportsbook#event/1020952090,Under,DraftKings,-169,49.0,61.59,https://sportsbook.draftkings.com/event/air-force-%40-nevada/31367908,0.0,2024-11-24 01:35,alternate_totals
